date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:47:11	136901/136901	---M--	200	added ('OK')	image/png	etag:%2262b19cfc-216c5%22	https://dynamex.az/frontend/web/uploads//images/slider%201/dynamex-bakixanovfiliali.png	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/frontend/web/uploads/images/slider%201/dynamex-bakixanovfiliali.png	(from https://dynamex.az/)
05:47:11	43367/43367	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2012:47:12%20GMT	https://dynamex.az/az/news-content/dynamex-memar-acami-tahvil-mantaqasin-achdi-turkiya-va-amerikadan-dashinma-186	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/az/news-content/dynamex-memar-acami-tahvil-mantaqasin-achdi-turkiya-va-amerikadan-dashinma-186.html	(from https://dynamex.az/)
05:47:11	615501/615501	---M--	200	added ('OK')	image/png	etag:%2262e5228d-9644d%22	https://dynamex.az/frontend/web/uploads//images/slider%201/Blue-and-Red-Minimalist-Store-Location-Map-Instagram-Post.png	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/frontend/web/uploads/images/slider%201/Blue-and-Red-Minimalist-Store-Location-Map-Instagram-Post.png	(from https://dynamex.az/)
05:47:12	25508/25508	---M--	200	added ('OK')	image/gif	etag:%2262581b9d-63a4%22	https://dynamex.az/frontend/web/uploads//images/Nec-sifari-edim.gif	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/frontend/web/uploads/images/Nec-sifari-edim.gif	(from https://dynamex.az/)
05:47:13	62782/62782	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2012:47:13%20GMT	https://dynamex.az/az/news-content/turkiyenin-onlayn-alis-veris-saytlari-28	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/az/news-content/turkiyenin-onlayn-alis-veris-saytlari-28.html	(from https://dynamex.az/)
05:47:13	27113/27113	---M--	200	added ('OK')	image/gif	etag:%2262581ba2-69e9%22	https://dynamex.az/frontend/web/uploads//images/odeme.gif	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/frontend/web/uploads/images/odeme.gif	(from https://dynamex.az/)
05:47:13	51244/51244	---M--	200	added ('OK')	image/gif	etag:%2262581b70-c82c%22	https://dynamex.az/frontend/web/uploads//images/catdirilma-dy.gif	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/frontend/web/uploads/images/catdirilma-dy.gif	(from https://dynamex.az/)
05:47:13	72709/72709	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2012:47:14%20GMT	https://dynamex.az/az/news-content/amerikadan-onlayn-sifarish-etmak-uchun-alish-verish-saytlari-2021-138	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/az/news-content/amerikadan-onlayn-sifarish-etmak-uchun-alish-verish-saytlari-2021-138.html	(from https://dynamex.az/)
05:47:13	176976/176976	---M--	200	added ('OK')	image/png	etag:%2262f25d1e-2b350%22	https://dynamex.az/frontend/web/uploads//images/new/gerckldirmk-BZDN.png	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/frontend/web/uploads/images/new/gerckldirmk-BZDN.png	(from https://dynamex.az/)
05:47:14	41934/41934	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2012:47:14%20GMT	https://dynamex.az/az/news-content/arzulamaq-sizdan-gerchaklashdirmak-bizdan-190	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/az/news-content/arzulamaq-sizdan-gerchaklashdirmak-bizdan-190.html	(from https://dynamex.az/)
05:47:14	1267/1267	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec1-4f3%22	https://cdnjs.cloudflare.com/ajax/libs/jquery-cookie/1.4.0/jquery.cookie.min.js	C:/Users/lenovo/Desktop/dynamex/dynamex/cdnjs.cloudflare.com/ajax/libs/jquery-cookie/1.4.0/jquery.cookie.min.js	(from https://dynamex.az/)
05:47:15	40709/40709	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2012:47:15%20GMT	https://dynamex.az/az/news.html	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/az/news.html	(from https://dynamex.az/)
